variant_id,variant_name,mistral,phi3,llama3.1,qwen2.5,gemma2,qwen3
V1,baseline,0.45375,0.75,0.55075,0.613,0.407,0.49275
V2,R,0.42425,0.753,0.49825,0.61425,0.3945,0.496
V3,A,0.50575,0.76,0.65025,0.71075,0.52525,0.619
V4,C,0.419,0.75375,0.5875,0.52125,0.42175,0.483
V5,T,0.529,0.49975,0.61025,0.5565,0.3995,0.63425
V6,F,0.6775,0.80125,0.6455,0.73375,0.58925,0.753
V7,R+F,0.66575,0.799,0.579,0.73825,0.5835,0.7335
V8,T+F,0.55375,0.455,0.653,0.73225,0.5565,0.7735
V9,R+A+F,0.64475,0.75875,0.4665,0.66775,0.5535,0.66475
V10,R+A+T,0.47125,0.4965,0.6165,0.625,0.4255,0.61
V11,A+C+T,0.51925,0.463,0.66025,0.65075,0.46625,0.63375
V12,A+T+F,0.478,0.56475,0.661,0.693,0.52075,0.72975
V13,R+T+F,0.51525,0.46875,0.66025,0.71975,0.48875,0.733
V14,C+T+F,0.5145,0.48725,,0.75075,0.52925,0.75675
V15,R+C+T+F,0.473,0.515,0.6785,0.74375,0.4795,0.7385
V16,R+A+C+T,0.49025,0.4815,0.62275,0.612,0.4285,0.6155
V17,R+A+T+F,0.4105,0.60475,0.59925,0.65825,0.49625,0.6915
V18,R+A+C+T+F,0.41325,0.56875,0.59875,0.68675,0.4805,0.7015
